0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.20687023,0.61648744,-2.9941458e-07,0.264729,0.61222816,-0.011272976,0.31496483,0.5712225,-0.0102634635,0.33445242,0.5114869,-0.0109418025,0.33624953,0.46455473,-0.010516281,0.30149966,0.50870377,0.008075797,0.31509525,0.46417236,-0.014090362,0.2993937,0.4991913,-0.027376764,0.2864319,0.5377846,-0.030602008,0.27120554,0.49520326,0.0076178983,0.28251022,0.45266467,-0.019239072,0.26508725,0.5036284,-0.028713131,0.25436753,0.5482732,-0.026466804,0.24043573,0.48710635,0.0030706904,0.2492921,0.45127362,-0.025450138,0.23661958,0.5079596,-0.024042048,0.22962473,0.5524897,-0.013177313,0.20619416,0.48281863,-0.0020688274,0.21775523,0.4541062,-0.020612236,0.2139813,0.49315906,-0.016943032,0.21109852,0.5250594,-0.007677585,A
0.21121547,0.61215675,-2.7922252e-07,0.26868638,0.60946506,-0.011220433,0.31808394,0.56981456,-0.0104342755,0.33744347,0.5101569,-0.011167539,0.33885232,0.46373907,-0.011046239,0.30091587,0.5068907,0.006999317,0.31636456,0.46295387,-0.014059003,0.30332422,0.49750438,-0.027289893,0.2905147,0.5341363,-0.031075954,0.27163568,0.4944649,0.0066588027,0.28375557,0.4505939,-0.018473001,0.27015823,0.50118136,-0.028109033,0.2603348,0.5443597,-0.026784524,0.24153617,0.48768872,0.0024970016,0.25128108,0.4510737,-0.024889622,0.24126871,0.50799483,-0.023521699,0.23418942,0.55119026,-0.013288907,0.20729,0.48436332,-0.0021975902,0.21763942,0.4559632,-0.020572647,0.21664631,0.49559054,-0.01714238,0.21522334,0.5272661,-0.008431723,A
0.20809971,0.61229926,-2.7153078e-07,0.2668695,0.6073075,-0.009559888,0.31487834,0.56901026,-0.008527883,0.33594596,0.5106741,-0.009505993,0.33656394,0.464876,-0.009665468,0.3004746,0.5071767,0.008066378,0.31486169,0.4622689,-0.012973046,0.29968393,0.4968255,-0.02613717,0.2859864,0.53300565,-0.029853133,0.27072692,0.49388036,0.0069022644,0.28150985,0.44949514,-0.019412488,0.26614153,0.50009006,-0.029758945,0.2556488,0.54406804,-0.028774507,0.24030924,0.48667622,0.0021783886,0.2488362,0.44969082,-0.025339838,0.23819555,0.505701,-0.024080746,0.2309784,0.5496078,-0.01395801,0.20636544,0.48278978,-0.0029766033,0.21744417,0.45419246,-0.02078514,0.21544272,0.492823,-0.016985236,0.21326382,0.52444094,-0.008101559,A
0.20634882,0.6180611,-2.8910026e-07,0.26379433,0.6125294,-0.010843354,0.3124702,0.5707693,-0.009866564,0.33315438,0.5122471,-0.01074503,0.33529857,0.46524042,-0.0105213765,0.2965302,0.5094589,0.008734792,0.31290036,0.46606362,-0.01231765,0.2971406,0.5022721,-0.025087008,0.283643,0.538876,-0.028410412,0.2673303,0.4970268,0.007923524,0.28078002,0.45270002,-0.017195696,0.2646621,0.5033034,-0.026391387,0.2532643,0.54607725,-0.024545588,0.23709129,0.4897365,0.0030663891,0.24745183,0.4522558,-0.024030754,0.2363995,0.5088067,-0.022607408,0.22879599,0.55220985,-0.012260597,0.20358352,0.48597303,-0.0023712087,0.21542782,0.4554419,-0.019765709,0.21389903,0.49379763,-0.015824158,0.21125098,0.5253384,-0.006871833,A
0.20744595,0.61265904,-2.744079e-07,0.26334038,0.60957956,-0.012532488,0.31370717,0.5695065,-0.0129113365,0.3332539,0.51115036,-0.014496928,0.33438355,0.46427047,-0.01519517,0.29872784,0.5061639,0.003246484,0.31427935,0.46441445,-0.018749578,0.29791513,0.49876443,-0.03195269,0.28306153,0.53584224,-0.035325322,0.26856124,0.49277228,0.0031363019,0.2806471,0.45164114,-0.022757422,0.26404253,0.5012782,-0.031931013,0.25222117,0.5459645,-0.03002312,0.23764344,0.4853887,-0.0008190011,0.24748059,0.4511476,-0.028651536,0.23640919,0.5066454,-0.027671024,0.22883865,0.5516607,-0.01755255,0.2035765,0.48163435,-0.0053399103,0.21665528,0.45437086,-0.023690412,0.21426202,0.49267927,-0.020145105,0.21083352,0.5249236,-0.011248755,A
0.20540291,0.6108237,-2.76481e-07,0.2608236,0.60900134,-0.011737264,0.31091154,0.5657813,-0.011299236,0.33059388,0.508396,-0.0122175105,0.33340573,0.46246013,-0.012099992,0.2984743,0.5017906,0.0036205384,0.3126259,0.4590492,-0.018778505,0.29782116,0.4933221,-0.03198679,0.2835627,0.5308958,-0.035306007,0.26770782,0.4890857,0.0030210952,0.27864617,0.4490333,-0.023485776,0.26294416,0.5006799,-0.03213338,0.25144675,0.54434025,-0.029757665,0.23613456,0.48285285,-0.0014598004,0.24401024,0.4483459,-0.029505085,0.23384841,0.50529814,-0.027630968,0.22703436,0.54805726,-0.01705081,0.20128341,0.48056948,-0.0065104174,0.21250413,0.45201868,-0.024868837,0.21085182,0.4910119,-0.020865282,0.20892115,0.52158886,-0.011762702,A
0.20535739,0.6127308,-2.901387e-07,0.2614236,0.61128837,-0.011504687,0.31014323,0.5709853,-0.010438155,0.3305462,0.5125925,-0.010925543,0.33475035,0.46657833,-0.010304909,0.29444346,0.5064788,0.006776931,0.31120878,0.46101746,-0.013850127,0.2971241,0.49774036,-0.026460517,0.28357187,0.5354892,-0.029832328,0.26497233,0.49415466,0.0065819942,0.27887514,0.44937482,-0.018815977,0.2636314,0.50129706,-0.028194997,0.25206846,0.5441421,-0.026569866,0.2348242,0.48675817,0.0025726734,0.2454118,0.44751775,-0.024595983,0.23466167,0.50485337,-0.022697572,0.22647437,0.54801327,-0.01215873,0.20100689,0.4824004,-0.0020407408,0.21253756,0.45069003,-0.020210028,0.21064976,0.48914337,-0.016287623,0.20763385,0.5199879,-0.007251941,A
0.20777509,0.60723037,-2.887685e-07,0.2640589,0.6089391,-0.010985504,0.31340945,0.5653789,-0.009408284,0.33251542,0.50553644,-0.0088968165,0.33482325,0.4607157,-0.0074990653,0.29604387,0.5026197,0.00350438,0.3113164,0.45921174,-0.015731545,0.29891214,0.49641016,-0.02716149,0.28562057,0.53445965,-0.03005509,0.26597232,0.49154747,0.0033616424,0.2791556,0.4487782,-0.020857949,0.26597902,0.5002045,-0.02962328,0.25408274,0.5440261,-0.028098667,0.23589188,0.48501185,-0.00015563068,0.24702084,0.44843093,-0.026724707,0.23803034,0.50523365,-0.025318561,0.22917828,0.5490174,-0.01563407,0.20258124,0.48043436,-0.004089731,0.21562353,0.45167434,-0.022768706,0.2137566,0.49153554,-0.019445239,0.2094416,0.52336943,-0.011077805,A
0.20715241,0.6096133,-2.8138027e-07,0.26401126,0.60636854,-0.012204437,0.31369695,0.56638634,-0.012376359,0.33503556,0.5078095,-0.013838925,0.33546948,0.46042123,-0.014282879,0.29953626,0.503103,0.0045114974,0.31434208,0.45973545,-0.017538445,0.29927343,0.49475047,-0.030699855,0.28599757,0.53141665,-0.03423906,0.26982504,0.48944756,0.0042407615,0.28291786,0.4463695,-0.021709,0.2658071,0.49694237,-0.030486915,0.25385892,0.5391932,-0.028388605,0.23903173,0.4819003,9.103702e-05,0.24867545,0.44522578,-0.027590005,0.2369544,0.5012758,-0.025488708,0.22934008,0.543711,-0.014731929,0.20446356,0.47773916,-0.004655184,0.21546103,0.4479316,-0.022546345,0.21379113,0.48657167,-0.018264895,0.21182102,0.51728874,-0.008994646,A
0.20845158,0.6064538,-2.7745642e-07,0.2677675,0.6024129,-0.00982134,0.31712553,0.5637415,-0.008686751,0.33847463,0.5062786,-0.009211732,0.33851498,0.46045396,-0.008826426,0.30114725,0.5014616,0.0057026357,0.31691125,0.45691508,-0.014669556,0.30180967,0.49235952,-0.026865577,0.28718403,0.5279735,-0.029969553,0.27182528,0.4877188,0.005020311,0.2838334,0.44549692,-0.01964481,0.26754045,0.4971986,-0.028528407,0.2559323,0.5383852,-0.026976839,0.24155983,0.48052374,0.0009959105,0.25149405,0.44437072,-0.024376793,0.23978482,0.4995603,-0.021401519,0.23101074,0.53977805,-0.01079041,0.20720908,0.47641394,-0.0034814202,0.22009063,0.44598606,-0.018834298,0.2174488,0.4837177,-0.013002638,0.21362509,0.5127324,-0.0031591677,A
